https://www.CryptoDataDownload.com,,,,,,,,,
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1567296000000,2019-09-01 0:00:00,ADA/USDT,0.04472,0.04519,0.0435,0.04425,33442001.8,1483697.61,6113
1567209600000,2019-08-31 0:00:00,ADA/USDT,0.04472,0.04546,0.04367,0.04473,38370426.4,1715267.402,7169
1567123200000,2019-08-30 0:00:00,ADA/USDT,0.0445,0.04578,0.04397,0.04474,46699729.7,2096838.725,9645
1567036800000,2019-08-29 0:00:00,ADA/USDT,0.04587,0.04587,0.04312,0.0445,89451625.7,3964016.39,16500
1566950400000,2019-08-28 0:00:00,ADA/USDT,0.04988,0.05041,0.04508,0.04587,97100872,4627816.743,16975
1566864000000,2019-08-27 0:00:00,ADA/USDT,0.04964,0.04999,0.04811,0.04988,41102635.8,2015424.105,8377
1566777600000,2019-08-26 0:00:00,ADA/USDT,0.04949,0.05082,0.04872,0.04964,91817760.7,4571067.815,15461
1566691200000,2019-08-25 0:00:00,ADA/USDT,0.05017,0.05265,0.0484,0.04949,135714785.8,6909324.99,23839
1566604800000,2019-08-24 0:00:00,ADA/USDT,0.04966,0.0515,0.04809,0.05016,94896456.2,4711605.285,17516
1566518400000,2019-08-23 0:00:00,ADA/USDT,0.0492,0.0503,0.0486,0.04964,82828680.2,4102948.891,15047
1566432000000,2019-08-22 0:00:00,ADA/USDT,0.04738,0.0512,0.0467,0.04918,110176304.5,5426880.295,20116
1566345600000,2019-08-21 0:00:00,ADA/USDT,0.04919,0.04919,0.04595,0.04736,61231599.2,2897638.573,9408
1566259200000,2019-08-20 0:00:00,ADA/USDT,0.05006,0.0503,0.04851,0.04917,58806726.5,2905572.263,9889
1566172800000,2019-08-19 0:00:00,ADA/USDT,0.05065,0.05084,0.04944,0.05002,48116882.4,2413941.25,9404
1566086400000,2019-08-18 0:00:00,ADA/USDT,0.04739,0.05127,0.04696,0.05061,77344197.4,3821827.505,11893
1566000000000,2019-08-17 0:00:00,ADA/USDT,0.04668,0.04808,0.04617,0.04739,61451603.2,2897046.099,10336
1565913600000,2019-08-16 0:00:00,ADA/USDT,0.04737,0.04759,0.04454,0.04668,81990220.7,3765358.072,14003
1565827200000,2019-08-15 0:00:00,ADA/USDT,0.0472,0.04821,0.04598,0.04733,56270382.1,2655621.57,9250
1565740800000,2019-08-14 0:00:00,ADA/USDT,0.05263,0.05382,0.04656,0.04716,125164218.2,6278909.356,20850
1565654400000,2019-08-13 0:00:00,ADA/USDT,0.05307,0.05328,0.04931,0.05268,95581904.4,4922054.82,15474
1565568000000,2019-08-12 0:00:00,ADA/USDT,0.05479,0.05491,0.05258,0.05304,62731467.1,3356500.999,10275
1565481600000,2019-08-11 0:00:00,ADA/USDT,0.05194,0.056,0.05161,0.05472,126245811.6,6784461.49,20054
1565395200000,2019-08-10 0:00:00,ADA/USDT,0.04772,0.05347,0.04766,0.05195,159929386.9,8124476.828,23125
1565308800000,2019-08-09 0:00:00,ADA/USDT,0.05211,0.05231,0.04735,0.04769,97693304,4825487.487,15102
1565222400000,2019-08-08 0:00:00,ADA/USDT,0.05194,0.05326,0.0504,0.05213,95176892.2,4923643.938,15572
1565136000000,2019-08-07 0:00:00,ADA/USDT,0.05343,0.0543,0.05135,0.05197,91400786.3,4814313.887,16225
1565049600000,2019-08-06 0:00:00,ADA/USDT,0.05652,0.05657,0.05305,0.0535,93915189.8,5170100.862,17154
1564963200000,2019-08-05 0:00:00,ADA/USDT,0.0561,0.0582,0.05603,0.05642,95585569.9,5444486.76,16942
1564876800000,2019-08-04 0:00:00,ADA/USDT,0.05774,0.0583,0.05593,0.05605,69058546.3,3916608.038,12318
1564790400000,2019-08-03 0:00:00,ADA/USDT,0.05737,0.0583,0.05683,0.05774,34213661.1,1970597.147,7648
1564704000000,2019-08-02 0:00:00,ADA/USDT,0.0586,0.05882,0.05576,0.05731,74752190.5,4301752.221,13990
